Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [GPa],Q11 [GPa],Q22 [GPa],Q12 [GPa],Q66 [GPa],Q16 [GPa],Q26 [GPa],CTE_x [1/K],CTE_y [1/K],Available dimensions
Sintered base material,CPS: P-Tex 2100,935,0.46,0.9,1.14155,1.14155,0.525114,0.308219,0,0,0.00015,0.00015,{t:1.0; w:310.0};{t:1.2; w:250.0};{t:1.2; w:320.0};{t:1.2; w:330.0};{t:1.2; w:340.0};{t:1.3; w:240.0};{t:1.3; w:250.0};{t:1.3; w:280.0};{t:1.3; w:316.0};{t:1.3; w:331.0};{t:1.3; w:346.0};{t:1.3; w:376.0};{t:1.6; w:250.0};{t:1.7; w:280.0}
Sintered base material,CPS: P-Tex 2000,935,0.46,0.9,1.14155,1.14155,0.525114,0.308219,0,0,0.00015,0.00015,{t:1.1; w:135.0};{t:1.1; w:150.0};{t:1.3; w:115.0};{t:1.3; w:125.0};{t:1.3; w:130.0};{t:1.3; w:135.0};{t:1.3; w:140.0};{t:1.3; w:145.0};{t:1.3; w:150.0};{t:1.3; w:160.0};{t:1.3; w:165.0};{t:1.3; w:300.0};{t:1.3; w:320.0};{t:1.3; w:95.0};{t:1.7; w:130.0};{t:1.7; w:135.0};{t:1.7; w:140.0};{t:1.7; w:150.0};{t:1.7; w:155.0};{t:1.7; w:160.0};{t:1.7; w:165.0};{t:1.7; w:175.0}
Extruded base material,CPS: P-Tex 1100,935,0.46,0.7,0.887874,0.887874,0.408422,0.239726,0,0,0.00015,0.00015,{t:1.3; w:115.0};{t:1.3; w:125.0};{t:1.3; w:130.0};{t:1.3; w:135.0};{t:1.3; w:140.0};{t:1.3; w:145.0};{t:1.3; w:150.0};{t:1.3; w:160.0};{t:1.3; w:165.0};{t:1.3; w:300.0};{t:1.3; w:320.0};{t:1.3; w:95.0}
Extruded base material,CPS: P-Tex 900,935,0.46,0.7,0.887874,0.887874,0.408422,0.239726,0,0,0.00015,0.00015,{t:1.1; w:135.0};{t:1.1; w:150.0};{t:1.3; w:115.0};{t:1.3; w:125.0};{t:1.3; w:130.0};{t:1.3; w:135.0};{t:1.3; w:140.0};{t:1.3; w:145.0};{t:1.3; w:150.0};{t:1.3; w:160.0};{t:1.3; w:165.0};{t:1.3; w:300.0};{t:1.3; w:320.0};{t:1.3; w:95.0};{t:1.5; w:130.0};{t:1.5; w:135.0};{t:1.6; w:125.0};{t:1.6; w:135.0};{t:1.7; w:130.0};{t:1.7; w:135.0};{t:1.7; w:140.0};{t:1.7; w:150.0};{t:1.7; w:155.0};{t:1.7; w:160.0};{t:1.7; w:165.0};{t:1.7; w:175.0}
Top Material,Watom: Duraclear 117,1070,0.48,0.1,0.129938,0.129938,0.0623701,0.0337838,0,0,0.00016,0.00016,{t:1.1; w:135.0};{t:1.2; w:350.0};{t:1.3; w:115.0};{t:1.3; w:125.0};{t:1.3; w:130.0};{t:1.3; w:135.0};{t:1.3; w:140.0};{t:1.3; w:145.0};{t:1.3; w:150.0};{t:1.3; w:155.0};{t:1.3; w:160.0};{t:1.3; w:165.0};{t:1.3; w:280.0};{t:1.3; w:300.0};{t:1.3; w:320.0};{t:1.3; w:340.0};{t:1.3; w:95.0};{t:1.5; w:150.0};{t:1.5; w:155.0};{t:1.7; w:130.0};{t:1.7; w:135.0};{t:1.7; w:140.0};{t:1.7; w:150.0};{t:1.7; w:155.0};{t:1.7; w:160.0};{t:1.7; w:165.0};{t:1.7; w:280.0};{t:1.7; w:300.0}
Top Material,Watom: Duraclear 111,1070,0.48,0.1,0.129938,0.129938,0.0623701,0.0337838,0,0,0.00016,0.00016,{t:1.3; w:115.0};{t:1.3; w:125.0};{t:1.3; w:130.0};{t:1.3; w:135.0};{t:1.3; w:140.0};{t:1.3; w:145.0};{t:1.3; w:150.0};{t:1.3; w:160.0};{t:1.3; w:165.0};{t:1.3; w:300.0};{t:1.3; w:320.0};{t:1.3; w:95.0}
Top Material,Watom: 210,1070,0.48,0.1,0.129938,0.129938,0.0623701,0.0337838,0,0,0.00016,0.00016,{t:1.3; w:115.0};{t:1.3; w:125.0};{t:1.3; w:130.0};{t:1.3; w:135.0};{t:1.3; w:140.0};{t:1.3; w:145.0};{t:1.3; w:150.0};{t:1.3; w:160.0};{t:1.3; w:165.0};{t:1.3; w:300.0};{t:1.3; w:320.0};{t:1.3; w:95.0}
Top Material,Watom: 211,1070,0.48,0.1,0.129938,0.129938,0.0623701,0.0337838,0,0,0.00016,0.00016,{t:0.5; w:320.0};{t:0.5; w:340.0};{t:0.5; w:350.0}
Sintered base material,Isosport: IS 4800,935,0.46,0.9,1.14155,1.14155,0.525114,0.308219,0,0,0.00015,0.00015,{t:0.5; w:320.0};{t:0.5; w:485.0};{t:0.5; w:515.0};{t:0.5; w:570.0};{t:0.6; w:570.0}
TPU,Isosport: TPU IE 3200 SM 2EV 031,1370,0.47,0.3,0.38506,0.38506,0.180978,0.102041,0,0,0.00012,0.00012,{t:0.6; w:320.0};{t:0.6; w:340.0};{t:0.6; w:515.0};{t:0.6; w:570.0};{t:0.7; w:570.0}
Top Material,Isosport: ICP 5275,1070,0.38,1.2,1.40252,1.40252,0.532959,0.434783,0,0,9e-05,9e-05,{t:0.5; w:320.0};{t:0.5; w:340.0};{t:0.5; w:345.0};{t:0.5; w:515.0};{t:0.5; w:570.0};{t:0.6; w:320.0};{t:0.6; w:340.0};{t:0.6; w:375.0};{t:0.6; w:515.0};{t:0.6; w:570.0}
Top Material,Isosport: ICP 5278,1070,0.38,1.2,1.40252,1.40252,0.532959,0.434783,0,0,9e-05,9e-05,
